rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150103;122706;N            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00010;00010;0000001384
 ;20150107;185839;N            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00010;00010;0000001384
 ;20150109;121231;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150123;120525;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00010;00010;0000001459
 ;20150127;181807;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150209;121650;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150213;185344;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150302;115717;W            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150302;155702;U            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00000;00000;0000001459
 ;20150331;122136;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150414;185951;N            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001384
 ;20150505;122317;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20150513;115711;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150528;120825;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150608;185427;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00010;00010;0000001400
 ;20150612;115515;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20150626;115931;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20150708;184732;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150730;185244;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001460
 ;20150821;121453;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150907;115507;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001400
 ;20150911;122025;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001459
 ;20150922;182904;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001400
 ;20151005;161210;N            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00005;00005;0000001388
 ;20151007;122549;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20151020;121952;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20151110;120537;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001400
 ;20151119;175855;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001460
 ;20151203;190240;N            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001387
 ;20151214;122726;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001400
 ;20151222;122316;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20160107;190154;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001460
 ;20160116;122419;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00030;00030;0000001400
 ;20160128;185808;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001460
 ;20160206;120519;Z            ;01;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001460
 ;20160222;122547;S            ;  ;O;024402051    ;EUTIROX*50CPR 75MCG                                         ;00020;00020;0000001400
