rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150113;121314;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001351
 ;20150203;184350;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00020;00020;0000001351
 ;20150204;120735;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001351
 ;20150226;115615;R            ;  ;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001356
 ;20150303;115216;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001351
 ;20150304;182538;S            ;  ;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00100;00100;0000001340
 ;20150312;120220;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001351
 ;20150316;120322;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001351
 ;20150408;185615;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001351
 ;20150424;115412;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001351
 ;20150428;120902;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001351
 ;20150506;162800;D            ;  ;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00001;00001;0000001351
 ;20150523;120601;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001351
 ;20150527;185520;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001351
 ;20150605;185605;N            ;  ;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001445
 ;20150624;155604;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20150708;184732;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20150720;190029;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20150810;152236;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20150821;121453;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20150828;185056;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20150922;185726;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20151016;120007;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00100;00100;0000001463
 ;20151028;081920;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00100;00100;0000001463
 ;20151106;121513;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20151130;115338;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20151202;120510;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20151204;115737;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20151207;122523;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20151230;120200;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20160105;122623;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160125;121431;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160217;120305;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160310;161644;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00100;00100;0000001463
 ;20160317;185217;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00100;00100;0000001463
 ;20160330;120921;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160422;122531;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160512;115841;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00030;00030;0000001463
 ;20160518;122916;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160608;121736;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160623;114904;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160712;122419;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160803;115404;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160820;114353;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20160907;110949;U            ;06;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001442
 ;20160928;115557;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20161017;115828;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20161111;160117;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20161130;114947;Z            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001463
 ;20161210;162123;U            ;06;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00200;00200;0000001442
 ;20170110;161330;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00000;00000;0000001460
 ;20170110;161616;U            ;01;O;024840074    ;CARDIOASPIRIN*30CPR GAST 100MG                              ;00000;00000;0000001460
