vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20150102;0920;L   ;024402051    ;0002;0000
20150103;0901;L   ;024402051    ;0002;0000
20150105;1013;X   ;024402051    ;0003;0000
20150105;1046;L   ;024402051    ;0002;0000
20150105;1054;L   ;024402051    ;0001;0000
20150105;1802;X   ;024402051    ;0003;0000
20150107;1658;L   ;024402051    ;0002;0000
20150108;0958;L   ;024402051    ;0001;0000
20150108;1152;L   ;024402051    ;0002;0000
20150108;1600;X   ;024402051    ;0003;0000
20150108;1838;H   ;024402051    ;0002;0000
20150109;0941;X   ;024402051    ;0003;0000
20150109;0947;H   ;024402051    ;0002;0000
20150109;1038;L   ;024402051    ;0001;0000
20150112;1110;H   ;024402051    ;0002;0000
20150113;0958;H   ;024402051    ;0001;0000
20150113;1050;H   ;024402051    ;0002;0000
20150113;1101;X   ;024402051    ;0001;0000
20150113;1719;H   ;024402051    ;0001;0000
20150114;0938;H   ;024402051    ;0001;0000
20150114;1019;H   ;024402051    ;0002;0000
20150114;1035;L   ;024402051    ;0001;0000
20150115;1045;L   ;024402051    ;0001;0000
20150116;1135;H   ;024402051    ;0002;0000
20150116;1617;L   ;024402051    ;0001;0000
20150119;0853;E   ;024402051    ;0002;0000
20150119;0939;H   ;024402051    ;0002;0000
20150120;1026;X   ;024402051    ;0003;0000
20150121;1120;L   ;024402051    ;0001;0000
20150121;1127;X   ;024402051    ;0002;0000
20150123;1002;X   ;024402051    ;0003;0000
20150126;0956;H   ;024402051    ;0002;0000
20150126;1700;L   ;024402051    ;0002;0000
20150126;1712;X   ;024402051    ;0003;0000
20150127;0905;H   ;024402051    ;0002;0000
20150127;1031;L   ;024402051    ;0001;0000
20150127;1506;H   ;024402051    ;0001;0000
20150128;1546;X   ;024402051    ;0004;0000
20150129;1119;H   ;024402051    ;0002;0000
20150129;1607;H   ;024402051    ;0001;0000
20150129;1607;H   ;024402051    ;0002;0000
20150130;1538;L   ;024402051    ;0001;0000
20150203;0947;E   ;024402051    ;0002;0000
20150203;1011;H   ;024402051    ;0002;0000
20150203;1824;E   ;024402051    ;0002;0000
20150204;1010;L   ;024402051    ;0001;0000
20150204;1011;X   ;024402051    ;0003;0000
20150205;0931;H   ;024402051    ;0002;0000
20150205;1220;X   ;024402051    ;0002;0000
20150206;1633;H   ;024402051    ;0001;0000
20150206;1808;X   ;024402051    ;0001;0000
20150209;0814;L   ;024402051    ;0001;0000
20150209;0840;L   ;024402051    ;0002;0000
20150209;0902;L   ;024402051    ;0002;0000
20150209;0953;H   ;024402051    ;0002;0000
20150209;1100;E   ;024402051    ;0002;0000
20150209;1112;H   ;024402051    ;0001;0000
20150209;1603;X   ;024402051    ;0003;0000
20150210;1655;X   ;024402051    ;0002;0000
20150210;1805;H   ;024402051    ;0002;0000
20150211;1047;X   ;024402051    ;0003;0000
20150211;1205;X   ;024402051    ;0002;0000
20150212;1031;H   ;024402051    ;0002;0000
20150212;1150;X   ;024402051    ;0002;0000
20150213;1731;L   ;024402051    ;0001;0000
20150216;0835;E   ;024402051    ;0001;0000
20150216;0952;X   ;024402051    ;0002;0000
20150217;0835;L   ;024402051    ;0002;0000
20150219;0902;H   ;024402051    ;0002;0000
20150219;1110;L   ;024402051    ;0001;0000
20150219;1654;L   ;024402051    ;0001;0000
20150221;0923;X   ;024402051    ;0001;0000
20150223;0944;H   ;024402051    ;0001;0000
20150224;1513;H   ;024402051    ;0002;0000
20150225;0954;L   ;024402051    ;0002;0000
20150226;0943;L   ;024402051    ;0003;0000
20150226;1631;H   ;024402051    ;0002;0000
20150228;0911;L   ;024402051    ;0001;0000
20150228;1159;L   ;024402051    ;0003;0000
20150302;1021;L   ;024402051    ;0001;0000
20150302;1052;E   ;024402051    ;0002;0000
20150304;0859;H   ;024402051    ;0001;0000
20150304;1725;E   ;024402051    ;0001;0000
20150305;1027;H   ;024402051    ;0001;0000
20150306;1021;H   ;024402051    ;0001;0000
20150306;1040;H   ;024402051    ;0002;0000
20150310;0916;H   ;024402051    ;0002;0000
20150310;1046;H   ;024402051    ;0002;0000
20150311;1108;H   ;024402051    ;0002;0000
20150311;1622;L   ;024402051    ;0001;0000
20150312;0959;H   ;024402051    ;0001;0000
20150317;1813;H   ;024402051    ;0002;0000
20150318;0945;H   ;024402051    ;0001;0000
20150318;1101;X   ;024402051    ;0002;0000
20150318;1649;L   ;024402051    ;0001;0000
20150319;0841;H   ;024402051    ;0002;0000
20150319;1045;H   ;024402051    ;0002;0000
20150319;1857;H   ;024402051    ;0001;0000
20150320;1113;H   ;024402051    ;0001;0000
20150321;1212;L   ;024402051    ;0001;0000
20150323;1016;L   ;024402051    ;0002;0000
20150323;1742;L   ;024402051    ;0001;0000
20150324;1000;X   ;024402051    ;0002;0000
20150325;0927;E   ;024402051    ;0002;0000
20150327;0909;E   ;024402051    ;0001;0000
20150330;0943;L   ;024402051    ;0002;0000
20150330;1021;L   ;024402051    ;0001;0000
20150330;1604;E   ;024402051    ;0001;0000
20150331;1020;L   ;024402051    ;0002;0000
20150402;0940;L   ;024402051    ;0002;0000
20150402;1020;L   ;024402051    ;0002;0000
20150403;0810;L   ;024402051    ;0001;0000
20150403;1010;H   ;024402051    ;0001;0000
20150403;1011;H   ;024402051    ;0002;0000
20150403;1105;L   ;024402051    ;0001;0000
20150403;1544;E   ;024402051    ;0002;0000
20150404;1216;X   ;024402051    ;0003;0000
20150408;1159;X   ;024402051    ;0002;0000
20150409;0923;L   ;024402051    ;0001;0000
20150409;1103;H   ;024402051    ;0001;0000
20150409;1104;H   ;024402051    ;0001;0000
20150409;1519;X   ;024402051    ;0002;0000
20150413;1123;H   ;024402051    ;0002;0000
20150413;1134;H   ;024402051    ;0002;0000
20150414;0958;H   ;024402051    ;0002;0000
20150414;1548;H   ;024402051    ;0002;0000
20150415;0845;E   ;024402051    ;0001;0000
20150415;0910;H   ;024402051    ;0002;0000
20150416;0939;H   ;024402051    ;0002;0000
20150418;1006;L   ;024402051    ;0001;0000
20150420;1743;L   ;024402051    ;0001;0000
20150420;1805;L   ;024402051    ;0001;0000
20150421;1702;L   ;024402051    ;0001;0000
20150421;1806;L   ;024402051    ;0001;0000
20150422;0958;H   ;024402051    ;0002;0000
20150423;1055;H   ;024402051    ;0002;0000
20150423;1154;E   ;024402051    ;0002;0000
20150424;0929;L   ;024402051    ;0002;0000
20150428;1204;H   ;024402051    ;0001;0000
20150429;0910;H   ;024402051    ;0002;0000
20150429;1715;L   ;024402051    ;0002;0000
20150430;1051;X   ;024402051    ;0001;0000
20150430;1730;H   ;024402051    ;0002;0000
20150504;0835;E   ;024402051    ;0002;0000
20150505;0805;X   ;024402051    ;0003;0000
20150505;1059;L   ;024402051    ;0001;0000
20150506;1107;X   ;024402051    ;0002;0000
20150506;1111;L   ;024402051    ;0002;0000
20150506;1151;E   ;024402051    ;0002;0000
20150506;1821;X   ;024402051    ;0001;0000
20150506;1851;H   ;024402051    ;0001;0000
20150507;1051;L   ;024402051    ;0001;0000
20150509;1043;L   ;024402051    ;0002;0000
20150511;1133;L   ;024402051    ;0001;0000
20150512;0929;H   ;024402051    ;0002;0000
20150512;1151;H   ;024402051    ;0001;0000
20150512;1554;H   ;024402051    ;0002;0000
20150512;1636;X   ;024402051    ;0003;0000
20150513;1027;H   ;024402051    ;0001;0000
20150514;0919;E   ;024402051    ;0002;0000
20150514;1119;L   ;024402051    ;0002;0000
20150518;0931;H   ;024402051    ;0002;0000
20150518;1027;E   ;024402051    ;0002;0000
20150518;1745;L   ;024402051    ;0001;0000
20150519;1609;X   ;024402051    ;0002;0000
20150520;0913;H   ;024402051    ;0002;0000
20150520;0939;H   ;024402051    ;0002;0000
20150520;1020;H   ;024402051    ;0001;0000
20150521;0939;H   ;024402051    ;0002;0000
20150521;0956;H-  ;024402051    ;0002;0000
20150521;1029;L   ;024402051    ;0001;0000
20150521;1101;H   ;024402051    ;0001;0000
20150522;1600;H   ;024402051    ;0002;0000
20150523;0858;E   ;024402051    ;0001;0000
20150523;1025;X   ;024402051    ;0003;0000
20150526;0945;E   ;024402051    ;0002;0000
20150526;1502;X   ;024402051    ;0003;0000
20150527;0852;L   ;024402051    ;0001;0000
20150527;0853;L   ;024402051    ;0001;0000
20150527;1146;L   ;024402051    ;0001;0000
20150528;0937;E   ;024402051    ;0002;0000
20150528;1043;H   ;024402051    ;0002;0000
20150528;1057;L   ;024402051    ;0001;0000
20150529;1155;E   ;024402051    ;0002;0000
20150601;1537;E   ;024402051    ;0002;0000
20150603;0903;X   ;024402051    ;0003;0000
20150603;1123;E   ;024402051    ;0001;0000
20150603;1726;X   ;024402051    ;0001;0000
20150604;1030;H   ;024402051    ;0002;0000
20150604;1045;H   ;024402051    ;0002;0000
20150604;1138;E   ;024402051    ;0002;0000
20150605;1055;X   ;024402051    ;0003;0000
20150606;0958;E   ;024402051    ;0002;0000
20150608;0831;H   ;024402051    ;0001;0000
20150608;0919;X   ;024402051    ;0002;0000
20150608;1008;X   ;024402051    ;0003;0000
20150608;1538;L   ;024402051    ;0001;0000
20150608;1617;H   ;024402051    ;0002;0000
20150608;1829;X   ;024402051    ;0001;0000
20150609;0853;H   ;024402051    ;0002;0000
20150609;1103;E   ;024402051    ;0002;0000
20150609;1130;L   ;024402051    ;0001;0000
20150609;1147;H   ;024402051    ;0002;0000
20150611;0947;L   ;024402051    ;0001;0000
20150612;0932;L   ;024402051    ;0002;0000
20150612;1744;L   ;024402051    ;0002;0000
20150615;1109;H   ;024402051    ;0002;0000
20150616;1118;X   ;024402051    ;0001;0000
20150616;1528;H   ;024402051    ;0002;0000
20150617;1050;H   ;024402051    ;0002;0000
20150617;1222;L   ;024402051    ;0001;0000
20150618;0950;H   ;024402051    ;0002;0000
20150618;1000;H   ;024402051    ;0001;0000
20150619;0921;L   ;024402051    ;0002;0000
20150619;1707;L   ;024402051    ;0002;0000
20150620;0954;X   ;024402051    ;0001;0000
20150622;0957;H   ;024402051    ;0002;0000
20150622;1015;H   ;024402051    ;0001;0000
20150622;1130;X   ;024402051    ;0002;0000
20150624;0903;H   ;024402051    ;0002;0000
20150624;1200;L   ;024402051    ;0002;0000
20150625;1645;L   ;024402051    ;0002;0000
20150626;1110;H   ;024402051    ;0002;0000
20150627;1139;L   ;024402051    ;0002;0000
20150629;1042;L   ;024402051    ;0001;0000
20150629;1545;L   ;024402051    ;0001;0000
20150630;0953;L   ;024402051    ;0002;0000
20150630;1048;H   ;024402051    ;0001;0000
20150630;1049;X   ;024402051    ;0001;0000
20150630;1121;E   ;024402051    ;0001;0000
20150701;1550;H   ;024402051    ;0002;0000
20150701;1755;L   ;024402051    ;0001;0000
20150702;1746;X   ;024402051    ;0002;0000
20150703;0834;H   ;024402051    ;0002;0000
20150703;1043;L   ;024402051    ;0002;0000
20150704;1006;X   ;024402051    ;0001;0000
20150707;1113;L   ;024402051    ;0001;0000
20150707;1707;L   ;024402051    ;0001;0000
20150708;0854;H   ;024402051    ;0001;0000
20150708;1703;H   ;024402051    ;0002;0000
20150709;1053;H   ;024402051    ;0001;0000
20150709;1058;L   ;024402051    ;0002;0000
20150710;0918;E   ;024402051    ;0001;0000
20150710;1214;X   ;024402051    ;0001;0000
20150710;1746;H   ;024402051    ;0002;0000
20150713;0918;X   ;024402051    ;0001;0000
20150713;0952;L   ;024402051    ;0001;0000
20150716;0904;X   ;024402051    ;0001;0000
20150717;1023;L   ;024402051    ;0001;0000
20150720;1034;L   ;024402051    ;0002;0000
20150721;1052;X   ;024402051    ;0002;0000
20150721;1151;X   ;024402051    ;0001;0000
20150722;0910;X   ;024402051    ;0001;0000
20150722;1125;H   ;024402051    ;0002;0000
20150723;1134;X   ;024402051    ;0001;0000
20150725;0913;H   ;024402051    ;0002;0000
20150727;1023;H   ;024402051    ;0001;0000
20150728;0838;E   ;024402051    ;0001;0000
20150728;0853;L   ;024402051    ;0002;0000
20150728;1029;L   ;024402051    ;0002;0000
20150728;1113;L   ;024402051    ;0001;0000
20150728;1626;L   ;024402051    ;0001;0000
20150730;1636;L   ;024402051    ;0001;0000
20150801;1045;L   ;024402051    ;0001;0000
20150803;0957;H   ;024402051    ;0002;0000
20150803;1122;L   ;024402051    ;0001;0000
20150804;0933;H   ;024402051    ;0002;0000
20150804;1855;L   ;024402051    ;0001;0000
20150807;0852;L   ;024402051    ;0001;0000
20150807;0922;L   ;024402051    ;0002;0000
20150810;1107;E   ;024402051    ;0002;0000
20150817;1053;E   ;024402051    ;0001;0000
20150819;0939;H   ;024402051    ;0002;0000
20150819;1109;E   ;024402051    ;0002;0000
20150820;0851;H   ;024402051    ;0002;0000
20150821;0829;H   ;024402051    ;0002;0000
20150821;1119;L   ;024402051    ;0002;0000
20150822;1026;H   ;024402051    ;0002;0000
20150824;1512;H   ;024402051    ;0002;0000
20150825;0906;X   ;024402051    ;0002;0000
20150825;1135;L   ;024402051    ;0001;0000
20150826;0932;X   ;024402051    ;0001;0000
20150826;1808;L   ;024402051    ;0001;0000
20150827;0844;E   ;024402051    ;0001;0000
20150827;1737;H   ;024402051    ;0002;0000
20150827;1825;E   ;024402051    ;0002;0000
20150828;1201;E   ;024402051    ;0002;0000
20150831;1027;X   ;024402051    ;0003;0000
20150831;1118;H   ;024402051    ;0002;0000
20150831;1739;L   ;024402051    ;0002;0000
20150901;0842;L   ;024402051    ;0001;0000
20150901;0952;H   ;024402051    ;0001;0000
20150901;1040;L   ;024402051    ;0001;0000
20150902;1004;X   ;024402051    ;0002;0000
20150905;0853;X   ;024402051    ;0003;0000
20150907;1110;L   ;024402051    ;0002;0000
20150907;1144;L   ;024402051    ;0002;0000
20150908;0940;E   ;024402051    ;0002;0000
20150908;0951;H   ;024402051    ;0002;0000
20150908;1107;L   ;024402051    ;0001;0000
20150908;1732;X   ;024402051    ;0002;0000
20150909;0821;H   ;024402051    ;0002;0000
20150909;1108;H   ;024402051    ;0002;0000
20150910;1058;E   ;024402051    ;0002;0000
20150911;0809;X   ;024402051    ;0003;0000
20150911;0904;X   ;024402051    ;0003;0000
20150911;1021;L   ;024402051    ;0002;0000
20150912;1106;H   ;024402051    ;0002;0000
20150914;1108;X   ;024402051    ;0002;0000
20150914;1514;L   ;024402051    ;0001;0000
20150914;1728;E   ;024402051    ;0002;0000
20150915;1133;H   ;024402051    ;0002;0000
20150915;1846;H   ;024402051    ;0002;0000
20150916;1151;H   ;024402051    ;0002;0000
20150916;1658;H   ;024402051    ;0002;0000
20150916;1811;L   ;024402051    ;0001;0000
20150917;0953;L   ;024402051    ;0002;0000
20150917;1010;H   ;024402051    ;0001;0000
20150918;1105;H   ;024402051    ;0002;0000
20150921;1735;L   ;024402051    ;0001;0000
20150922;1151;E   ;024402051    ;0001;0000
20150922;1536;L   ;024402051    ;0001;0000
20150922;1542;H   ;024402051    ;0002;0000
20150924;0823;L   ;024402051    ;0002;0000
20150924;0835;H   ;024402051    ;0002;0000
20150924;1114;X   ;024402051    ;0001;0000
20150928;1000;H   ;024402051    ;0002;0000
20150929;1519;X   ;024402051    ;0003;0000
20150929;1606;L   ;024402051    ;0001;0000
20150930;0929;H   ;024402051    ;0002;0000
20150930;0949;L   ;024402051    ;0001;0000
20150930;1058;H   ;024402051    ;0002;0000
20150930;1156;H   ;024402051    ;0002;0000
20151002;0915;H   ;024402051    ;0001;0000
20151005;0930;L   ;024402051    ;0001;0000
20151005;1703;H   ;024402051    ;0002;0000
20151006;1833;L   ;024402051    ;0002;0000
20151007;1156;H   ;024402051    ;0002;0000
20151008;0859;H   ;024402051    ;0002;0000
20151008;1650;L   ;024402051    ;0001;0000
20151010;1637;L   ;024402051    ;0001;0000
20151012;1100;E   ;024402051    ;0001;0000
20151012;1144;X   ;024402051    ;0001;0000
20151013;1019;L   ;024402051    ;0002;0000
20151013;1120;X   ;024402051    ;0001;0000
20151014;0958;H   ;024402051    ;0001;0000
20151014;1042;L   ;024402051    ;0002;0000
20151014;1133;X   ;024402051    ;0004;0000
20151014;1133;L-  ;024402051    ;0001;0000
20151015;0823;L   ;024402051    ;0001;0000
20151015;1015;X   ;024402051    ;0003;0000
20151016;0946;E   ;024402051    ;0002;0000
20151016;1030;E   ;024402051    ;0002;0000
20151019;0851;H   ;024402051    ;0002;0000
20151019;0858;X   ;024402051    ;0001;0000
20151019;1224;L   ;024402051    ;0001;0000
