vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20180121;1412;Ls  ;023853031    ;0000;0007
20180430;1406;Ls  ;023853031    ;0000;0005
20180503;0950;L   ;023853031    ;0005;0000
20180514;1700;Ls  ;023853031    ;0000;0010
20180515;0834;L   ;023853031    ;0010;0000
20180517;1842;Ls  ;023853031    ;0000;0010
20180522;0836;L   ;023853031    ;0010;0000
20180530;1555;Ls  ;023853031    ;0000;0010
20180531;0857;L   ;023853031    ;0010;0000
20180611;1801;Ls  ;023853031    ;0000;0020
20180612;0830;L   ;023853031    ;0020;0000
20180615;1737;Ls  ;023853031    ;0000;0010
20180628;1745;Ls  ;023853031    ;0000;0030
20180712;1520;Ls  ;023853031    ;0000;0020
20180717;0844;L   ;023853031    ;0020;0000
20180718;1705;Ls  ;023853031    ;0000;0010
20180719;0837;L   ;023853031    ;0010;0000
20180808;1429;Ls  ;023853031    ;0000;0030
20180809;0906;L   ;023853031    ;0030;0000
20180904;1730;Ls  ;023853031    ;0000;0020
20180906;0926;L   ;023853031    ;0020;0000
20180917;1602;L   ;023853031    ;0030;0000
20180927;0918;L   ;023853031    ;0020;0000
20180927;1011;Ls  ;023853031    ;0000;0010
20181001;1552;L   ;023853031    ;0010;0000
20181024;1712;L   ;023853031    ;0040;0000
20181107;1440;Ls  ;023853031    ;0000;0040
20181108;0826;L   ;023853031    ;0040;0000
20181115;1633;Ls  ;023853031    ;0000;0030
20181120;0842;L   ;023853031    ;0030;0000
20181128;1715;L   ;023853031    ;0040;0000
20181211;1011;Ls  ;023853031    ;0000;0020
20181213;1148;Ls  ;023853031    ;0000;0050
20181227;1749;L   ;023853031    ;0002;0000
20190107;1148;Ls  ;023853031    ;0000;0050
20190107;1734;L   ;023853031    ;0050;0000
20190116;1122;Ls  ;023853031    ;0000;0040
20190117;0905;L   ;023853031    ;0040;0000
20190117;1717;Ls  ;023853031    ;0000;0050
20190122;0837;L   ;023853031    ;0050;0000
20190128;0842;Ls  ;023853031    ;0000;0030
20190128;1559;L   ;023853031    ;0030;0000
20190205;1816;Ls  ;023853031    ;0000;0040
20190206;1730;L   ;023853031    ;0040;0000
20190213;1635;Ls  ;023853031    ;0000;0060
20190214;0838;L   ;023853031    ;0060;0000
20190219;1843;Ls  ;023853031    ;0000;0040
20190221;0833;L   ;023853031    ;0040;0000
20190225;1725;Ls  ;023853031    ;0000;0060
20190226;0918;L   ;023853031    ;0060;0000
20190306;1611;L   ;023853031    ;0050;0000
20190312;0914;L   ;023853031    ;0050;0000
20190314;0855;L   ;023853031    ;0050;0000
20190401;1700;L   ;023853031    ;0060;0000
20190404;0824;L   ;023853031    ;0040;0000
20190423;0825;L   ;023853031    ;0050;0000
20190510;1645;L   ;023853031    ;0010;0000
20190522;1611;L   ;023853031    ;0060;0000
20190531;1134;Ls  ;023853031    ;0000;0030
20190604;0843;L   ;023853031    ;0030;0000
20190710;1618;L   ;023853031    ;0060;0000
20190912;0851;L   ;023853031    ;0020;0000
20190926;0909;L   ;023853031    ;0060;0000
20191017;0935;L   ;023853031    ;0020;0000
20191022;0858;L   ;023853031    ;0080;0000
20191112;1114;L   ;023853031    ;0020;0000
20191120;1810;L   ;023853031    ;0060;0000
20191128;0918;Ls  ;023853031    ;0000;0001
20191203;0933;L   ;023853031    ;0050;0000
20191213;1016;Ls  ;023853031    ;0000;0060
20191217;0853;L   ;023853031    ;0060;0000
20191231;0847;L   ;023853031    ;0030;0000
20200109;0853;L   ;023853031    ;0055;0000
20200114;0921;L   ;023853031    ;0045;0000
20200203;1836;L   ;023853031    ;0100;0000
20200217;1535;Ls  ;023853031    ;0000;0060
20200218;0823;L   ;023853031    ;0060;0000
20200222;1028;Ls  ;023853031    ;0000;0100
20200224;1839;L   ;023853031    ;0100;0000
20200310;0925;L   ;023853031    ;0050;0000
20200423;1210;L   ;023853031    ;0010;0000
20200507;1608;Ls  ;023853031    ;0000;0050
20200511;1801;L   ;023853031    ;0050;0000
20200528;0830;L   ;023853031    ;0050;0000
20200611;0817;L   ;023853031    ;0060;0000
20200617;1549;Ls  ;023853031    ;0000;0060
20200618;0821;L   ;023853031    ;0060;0000
20200715;1742;L   ;023853031    ;0060;0000
20200721;1509;Ls  ;023853031    ;0000;0015
20200723;0825;L   ;023853031    ;0015;0000
20200907;1116;Ls  ;023853031    ;0000;0060
20200908;0836;L   ;023853031    ;0060;0000
20201008;0949;L   ;023853031    ;0060;0000
20201021;1732;Ls  ;023853031    ;0000;0100
20201022;0816;L   ;023853031    ;0100;0000
20201112;0843;L   ;023853031    ;0010;0000
20201112;0845;Ls  ;023853031    ;0000;0040
20201116;1609;L   ;023853031    ;0040;0000
20201118;1237;Ls  ;023853031    ;0000;0004
20201119;0850;L   ;023853031    ;0004;0000
20201201;1754;Ls  ;023853031    ;0000;0060
20201203;0838;L   ;023853031    ;0060;0000
20210104;1643;Ls  ;023853031    ;0000;0100
20210105;0839;L   ;023853031    ;0100;0000
20210209;1638;Ls  ;023853031    ;0000;0100
20210211;0920;L   ;023853031    ;0100;0000
20210309;1556;Ls  ;023853031    ;0000;0100
20210310;1626;L   ;023853031    ;0100;0000
20210324;1738;Ls  ;023853031    ;0000;0050
20210325;0846;L   ;023853031    ;0060;0000
20210403;1033;Ls  ;023853031    ;0000;0060
20210406;0903;L   ;023853031    ;0060;0000
20210421;1506;Ls  ;023853031    ;0000;0060
20210422;0901;L   ;023853031    ;0060;0000
20210430;1644;Ls  ;023853031    ;0000;0060
20210504;0839;L   ;023853031    ;0060;0000
20210512;1501;Ls  ;023853031    ;0000;0100
20210513;0911;L   ;023853031    ;0100;0000
20210604;1543;Ls  ;023853031    ;0000;0060
20210607;1619;L   ;023853031    ;0060;0000
20210609;1730;L   ;023853031    ;0100;0000
20210811;1138;Ls  ;023853031    ;0000;0050
20210812;0844;L   ;023853031    ;0050;0000
20210907;1647;Ls  ;023853031    ;0000;0100
20210909;1015;L   ;023853031    ;0100;0000
20210923;1506;Ls  ;023853031    ;0000;0100
20210927;1527;L   ;023853031    ;0100;0000
20211021;1604;Ls  ;023853031    ;0000;0100
20211025;1645;L   ;023853031    ;0100;0000
20211026;0949;Ls  ;023853031    ;0000;0004
20211028;0938;L   ;023853031    ;0004;0000
20211116;1430;Ls  ;023853031    ;0000;0100
20211118;0900;L   ;023853031    ;0100;0000
20211202;1230;L   ;023853031    ;0100;0000
20220103;1659;Ls  ;023853031    ;0000;0200
20220104;1001;L   ;023853031    ;0200;0000
