rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150105;115622;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00030;00030;0000003375
 ;20150124;120625;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003376
 ;20150127;120458;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20150206;121430;N            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00030;00030;0000003336
 ;20150225;115442;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003375
 ;20150225;184902;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20150226;175304;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00050;00050;0000003280
 ;20150401;185000;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20150428;120902;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20150509;121328;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003360
 ;20150515;120620;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003360
 ;20150529;122304;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003400
 ;20150605;185605;N            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00006;00006;0000003337
 ;20150615;160907;N            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003338
 ;20150630;152154;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20150723;120524;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20150801;122214;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003360
 ;20150808;120441;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003375
 ;20150825;121208;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003376
 ;20150831;122421;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003375
 ;20150911;122025;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20151008;114940;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003376
 ;20151009;120811;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20151019;184930;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20151029;121931;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20151107;115014;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003375
 ;20151121;121536;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003284
 ;20151124;115412;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20151202;185450;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20151216;121833;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160105;185234;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003284
 ;20160107;190154;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160114;185951;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160209;121028;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160216;120024;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160227;163621;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160311;121107;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160325;184818;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160405;121738;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160415;121554;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160427;121028;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003284
 ;20160512;184821;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160524;114907;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003375
 ;20160607;122649;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003375
 ;20160614;120245;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160712;122419;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160729;114918;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160817;183217;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160901;185350;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20160921;110416;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20161006;184938;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161026;115258;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161102;165611;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161111;121653;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161122;115629;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161125;184842;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161209;114513;Z            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20161229;184621;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003380
 ;20161230;082844;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003376
 ;20170201;115046;R            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003430
 ;20170201;115145;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003360
 ;20170201;153929;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170201;154050;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003372
 ;20170201;154808;R            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00005;00005;0000003388
 ;20170201;165733;S            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003360
 ;20170308;161043;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170308;161228;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170308;161747;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20170328;152838;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170328;153001;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20170410;185432;N            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00009;00009;0000003336
 ;20170414;155824;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170414;155939;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170414;163330;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00040;00040;0000003372
 ;20170606;170437;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170606;171209;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170606;171633;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003372
 ;20170614;122804;N            ;  ;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00008;00008;0000003346
 ;20170628;115800;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00020;0000003373
 ;20170628;161036;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170710;175001;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003336
 ;20170718;175423;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003336
 ;20170810;110425;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20170824;151915;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20170824;153052;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00010;00010;0000003372
 ;20170915;115325;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20170922;180029;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20171010;185935;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20171024;122642;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20171024;155922;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20171107;152206;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20171107;152304;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20171110;110329;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20171117;110228;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20171215;161521;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00000;00000;0000003370
 ;20171215;161715;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
 ;20171229;180221;U            ;06;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003326
 ;20180115;182611;U            ;01;O;036635011    ;DIBASE*OS GTT 10ML 10000UI/ML                               ;00020;00020;0000003373
