vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp;vb.vb-dati-anagrafici-prodotto.vb-principio-attivo;vb.vb-dati-anagrafici-prodotto.vb-gmk;vb.vb-dati-anagrafici-prodotto.vb-bd-category
20010703;0800;E   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010704;0800;L   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010705;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010705;0800;H   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010705;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010705;0800;X   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010706;0800;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010706;0800;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010706;0800;T   ;011782012    ;0001;0000;000000;CF A  N  S                    ;X0144010101
20010709;0800;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010709;0800;E   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010709;0800;E   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010709;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010710;0800;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010710;0800;L   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010711;0800;L   ;011782012    ;0001;0000;000000;CF A  N  S                    ;X0144010101
20010711;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010712;0800;X   ;011782012    ;0004;0000;000000;CF A  N  S                    ;X0144010101
20010712;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010712;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010712;0800;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010714;0800;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010714;0800;X   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010714;0800;T   ;011782012    ;0001;0000;000000;CF A  N  S                    ;X0144010101
20010714;0800;T   ;011782012    ;0001;0000;000000;CF A  N  S                    ;X0144010101
20010730;1838;T   ;011782012    ;0001;0000;000000;CF A  N  S                    ;X0144010101
20010731;0944;T   ;011782012    ;0002;0000;000000;CF A  N  S                    ;X0144010101
20010801;1602;X   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
20010801;1603;H   ;011782012    ;0006;0000;000000;CF A  N  S                    ;X0144010101
