rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150107;121137;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150114;121521;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150119;120126;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150121;121541;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150206;115908;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150210;081504;U            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00012;00012;0000005959
 ;20150211;185627;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00005;00005;0000005960
 ;20150216;121118;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150220;120656;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00005;00005;0000005960
 ;20150223;115515;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150304;115111;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00030;00030;0000005960
 ;20150306;183918;S            ;  ;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005940
 ;20150313;165024;U            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00030;00030;0000005959
 ;20150325;115913;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150407;115852;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150420;121548;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00012;00012;0000005959
 ;20150424;115412;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00040;00040;0000005960
 ;20150519;115527;S            ;  ;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005940
 ;20150523;185224;U            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150606;121739;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150612;115404;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150616;120910;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150618;183028;S            ;  ;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00005;00005;0000005940
 ;20150622;121232;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150627;121530;S            ;  ;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00005;00005;0000005940
 ;20150629;121112;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150706;122452;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150708;120433;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150714;150737;U            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
 ;20150721;121320;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150728;120045;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00020;00020;0000005960
 ;20150813;185527;Z            ;01;O;031981311    ;PANTORC*14CPR GASTR 40MG                                    ;00010;00010;0000005960
