vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20060901;1823;Ls  ;036635011    ;0000;0001
20060904;1837;Lr  ;036635011    ;0001;0000
20070821;1233;Ls  ;036635011    ;0000;0001
20070822;0815;Lr  ;036635011    ;0001;0000
20080317;1007;Ls  ;036635011    ;0000;0001
20080318;1033;Lr  ;036635011    ;0001;0000
20080707;1235;Ls  ;036635011    ;0000;0001
20080709;1221;Lr  ;036635011    ;0001;0000
20080812;1718;Ls  ;036635011    ;0000;0001
20080813;1218;Lr  ;036635011    ;0001;0000
20080919;1101;Hs  ;036635011    ;0000;0001
20080919;1706;Hr  ;036635011    ;0001;0000
20081002;1706;Hs  ;036635011    ;0000;0002
20081003;1112;Hr  ;036635011    ;0002;0000
20081111;1112;H   ;036635011    ;0001;0000
20081212;1021;H   ;036635011    ;0001;0000
20090221;1107;L   ;036635011    ;0001;0000
20090224;1044;T   ;036635011    ;0001;0000
20090303;1511;L   ;036635011    ;0001;0000
20090325;1548;H   ;036635011    ;0002;0000
20090327;0959;H   ;036635011    ;0001;0000
20090330;1656;T   ;036635011    ;0001;0000
20090331;1048;L   ;036635011    ;0001;0000
20090404;1125;H   ;036635011    ;0002;0000
20090409;1218;H   ;036635011    ;0001;0000
20090410;1040;H   ;036635011    ;0001;0000
20090411;1037;T   ;036635011    ;0002;0000
20090414;1134;T   ;036635011    ;0001;0000
20090420;1516;E   ;036635011    ;0002;0000
20090421;0933;H   ;036635011    ;0001;0000
20090427;1655;L   ;036635011    ;0001;0000
20090505;1714;E   ;036635011    ;0002;0000
20090505;1714;Es  ;036635011    ;0001;0001
20090508;1850;Er  ;036635011    ;0001;0000
20090512;1506;L   ;036635011    ;0001;0000
20090513;1132;E   ;036635011    ;0001;0000
20090519;0910;E   ;036635011    ;0002;0000
20090519;0910;Es  ;036635011    ;0001;0001
20090519;1614;Er  ;036635011    ;0001;0000
20090521;1203;L   ;036635011    ;0001;0000
20090523;1048;T   ;036635011    ;0002;0000
20090528;1512;L   ;036635011    ;0001;0000
20090529;0807;L   ;036635011    ;0001;0000
20090615;1110;H   ;036635011    ;0001;0000
20090615;1516;T   ;036635011    ;0002;0000
20090616;1854;T   ;036635011    ;0001;0000
20090617;1000;T   ;036635011    ;0002;0000
20090617;1130;H   ;036635011    ;0001;0000
20090618;1123;E   ;036635011    ;0002;0000
20090622;0932;H   ;036635011    ;0001;0000
20090622;0932;H   ;036635011    ;0001;0000
20090622;1652;L   ;036635011    ;0001;0000
20090630;1800;H   ;036635011    ;0002;0000
20090702;0854;L   ;036635011    ;0001;0000
20090708;1156;L   ;036635011    ;0001;0000
20090709;1627;E   ;036635011    ;0002;0000
20090709;1627;E   ;036635011    ;0002;0000
20090711;1042;L   ;036635011    ;0001;0000
20090715;0822;T   ;036635011    ;0001;0000
20090728;1814;L   ;036635011    ;0001;0000
20090812;1831;H   ;036635011    ;0002;0000
20090820;1102;L   ;036635011    ;0003;0000
20090821;1101;L   ;036635011    ;0001;0000
20090826;1600;E   ;036635011    ;0002;0000
20090826;1606;E-  ;036635011    ;0002;0000
20090826;1607;E   ;036635011    ;0002;0000
20090827;1049;T   ;036635011    ;0001;0000
20090831;0858;T   ;036635011    ;0002;0000
20090831;1139;H   ;036635011    ;0002;0000
20090904;1203;T   ;036635011    ;0002;0000
20090906;1510;L   ;036635011    ;0001;0000
20090912;0929;L   ;036635011    ;0004;0000
20090923;1057;H   ;036635011    ;0001;0000
20090924;1013;E   ;036635011    ;0001;0000
20090928;1024;L   ;036635011    ;0002;0000
20091005;1148;H   ;036635011    ;0001;0000
20091009;1054;E   ;036635011    ;0001;0000
20091026;1013;L   ;036635011    ;0001;0000
20091105;1554;E   ;036635011    ;0002;0000
20091113;1048;E   ;036635011    ;0001;0000
20091116;1055;L   ;036635011    ;0001;0000
20091118;1513;L   ;036635011    ;0001;0000
20091119;1552;H   ;036635011    ;0002;0000
20091123;1045;L   ;036635011    ;0002;0000
20091204;1002;L   ;036635011    ;0001;0000
20091209;1740;H   ;036635011    ;0002;0000
20091211;1041;T   ;036635011    ;0001;0000
20091221;1113;L   ;036635011    ;0001;0000
20091230;0958;L   ;036635011    ;0002;0000
20100107;0916;T   ;036635011    ;0002;0000
20100112;1133;E   ;036635011    ;0001;0000
20100129;1856;T   ;036635011    ;0001;0000
20100202;1036;L   ;036635011    ;0002;0000
20100210;0942;T   ;036635011    ;0002;0000
20100212;1637;H   ;036635011    ;0002;0000
20100215;1107;E   ;036635011    ;0001;0000
20100218;1843;T   ;036635011    ;0002;0000
20100222;1145;L   ;036635011    ;0001;0000
20100305;1708;Ms  ;036635011    ;0001;0001
20100308;1010;L   ;036635011    ;0001;0000
20100312;1034;Mr  ;036635011    ;0001;0000
20100316;1149;L   ;036635011    ;0001;0000
20100316;1832;E   ;036635011    ;0001;0000
20100322;1231;H   ;036635011    ;0001;0000
20100325;1058;T   ;036635011    ;0002;0000
20100401;1520;L   ;036635011    ;0001;0000
20100414;0945;H   ;036635011    ;0001;0000
20100419;1030;H   ;036635011    ;0001;0000
20100428;1115;M   ;036635011    ;0001;0000
20100428;1139;T   ;036635011    ;0001;0000
20100428;1141;H   ;036635011    ;0001;0000
20100430;1015;H   ;036635011    ;0001;0000
20100511;1038;H   ;036635011    ;0001;0000
20100519;0942;X   ;036635011    ;0002;0000
20100615;1040;T   ;036635011    ;0001;0000
20100617;1144;L   ;036635011    ;0001;0000
20100619;1232;T   ;036635011    ;0001;0000
20100621;1032;E   ;036635011    ;0001;0000
20100621;1513;H   ;036635011    ;0002;0000
20100621;1722;T   ;036635011    ;0001;0000
20100622;1012;H   ;036635011    ;0002;0000
20100624;1153;H   ;036635011    ;0001;0000
20100625;1731;H   ;036635011    ;0001;0000
20100628;0940;L   ;036635011    ;0001;0000
20100628;1134;E   ;036635011    ;0001;0000
20100628;1736;T   ;036635011    ;0002;0000
20100630;1018;H   ;036635011    ;0001;0000
20100712;1218;L   ;036635011    ;0001;0000
20100715;1019;H   ;036635011    ;0002;0000
20100804;1203;L   ;036635011    ;0001;0000
20100811;1109;L   ;036635011    ;0001;0000
20100827;1517;T   ;036635011    ;0002;0000
20100831;1027;H   ;036635011    ;0001;0000
20100904;1127;H   ;036635011    ;0002;0000
20100915;1723;L   ;036635011    ;0001;0000
20100924;0845;L   ;036635011    ;0001;0000
20100927;1032;L   ;036635011    ;0002;0000
20100929;0923;L   ;036635011    ;0005;0000
20101009;1813;L   ;036635011    ;0001;0000
20101011;1031;L   ;036635011    ;0001;0000
20101014;0902;X   ;036635011    ;0002;0000
20101014;1039;Hs  ;036635011    ;0001;0001
20101014;1844;Hr  ;036635011    ;0001;0000
20101018;1709;L   ;036635011    ;0001;0000
20101020;1025;T   ;036635011    ;0002;0000
20101026;1046;H   ;036635011    ;0001;0000
20101026;1151;L   ;036635011    ;0002;0000
20101027;1114;H   ;036635011    ;0002;0000
