vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20150102;0940;H   ;031981311    ;0002;0000
20150102;0940;H   ;031981311    ;0002;0000
20150102;0957;L   ;031981311    ;0001;0000
20150103;0946;L   ;031981311    ;0001;0000
20150104;0059;L   ;031981311    ;0001;0000
20150104;0116;L   ;031981311    ;0001;0000
20150104;1411;L   ;031981311    ;0001;0000
20150104;1544;L   ;031981311    ;0001;0000
20150104;1725;L   ;031981311    ;0001;0000
20150105;1015;H   ;031981311    ;0002;0000
20150105;1015;H   ;031981311    ;0002;0000
20150105;1020;H   ;031981311    ;0002;0000
20150105;1020;H   ;031981311    ;0002;0000
20150107;0858;T   ;031981311    ;0002;0000
20150107;0858;T   ;031981311    ;0002;0000
20150107;0903;L   ;031981311    ;0001;0000
20150107;1024;H   ;031981311    ;0002;0000
20150107;1024;H   ;031981311    ;0002;0000
20150108;1600;H   ;031981311    ;0002;0000
20150108;1600;H   ;031981311    ;0002;0000
20150108;1828;H   ;031981311    ;0001;0000
20150109;0859;L   ;031981311    ;0001;0000
20150112;0906;L   ;031981311    ;0001;0000
20150112;1720;L   ;031981311    ;0001;0000
20150114;1104;T   ;031981311    ;0002;0000
20150114;1104;T   ;031981311    ;0002;0000
20150114;1153;H   ;031981311    ;0002;0000
20150114;1153;H   ;031981311    ;0002;0000
20150115;0908;H   ;031981311    ;0002;0000
20150115;0941;L   ;031981311    ;0001;0000
20150115;1138;L   ;031981311    ;0001;0000
20150115;1219;H   ;031981311    ;0002;0000
20150115;1219;H   ;031981311    ;0002;0000
20150116;0945;H   ;031981311    ;0002;0000
20150119;1044;T   ;031981311    ;0002;0000
20150119;1044;T   ;031981311    ;0002;0000
20150120;0908;T   ;031981311    ;0002;0000
20150120;0947;H   ;031981311    ;0002;0000
20150120;0947;H   ;031981311    ;0002;0000
20150120;1015;X   ;031981311    ;0002;0000
20150120;1719;L   ;031981311    ;0001;0000
20150121;0925;L   ;031981311    ;0001;0000
20150121;1006;T   ;031981311    ;0002;0000
20150121;1006;T   ;031981311    ;0002;0000
20150127;0948;L   ;031981311    ;0001;0000
20150129;1218;L   ;031981311    ;0001;0000
20150130;1006;L   ;031981311    ;0005;0000
20150130;1010;L   ;031981311    ;0002;0000
20150131;1158;E   ;031981311    ;0002;0000
20150131;1158;E   ;031981311    ;0002;0000
20150203;0850;L   ;031981311    ;0001;0000
20150204;1742;H   ;031981311    ;0002;0000
20150206;1012;H   ;031981311    ;0002;0000
20150206;1012;H   ;031981311    ;0002;0000
20150207;1736;L   ;031981311    ;0001;0000
20150208;1000;L   ;031981311    ;0002;0000
20150210;1758;L   ;031981311    ;0001;0000
20150211;1039;X   ;031981311    ;0002;0000
20150211;1039;T   ;031981311    ;0002;0000
20150211;1043;H   ;031981311    ;0002;0000
20150211;1043;H   ;031981311    ;0002;0000
20150211;1619;X   ;031981311    ;0002;0000
20150213;1039;H   ;031981311    ;0002;0000
20150213;1513;L   ;031981311    ;0001;0000
20150214;0951;H   ;031981311    ;0002;0000
20150214;0951;H   ;031981311    ;0002;0000
20150216;0930;T   ;031981311    ;0002;0000
20150218;0842;L   ;031981311    ;0001;0000
20150218;0954;X   ;031981311    ;0004;0000
20150220;0931;T   ;031981311    ;0002;0000
20150220;0931;T   ;031981311    ;0002;0000
20150220;1016;H   ;031981311    ;0002;0000
20150220;1027;T   ;031981311    ;0002;0000
20150220;1027;T   ;031981311    ;0002;0000
20150223;0852;H   ;031981311    ;0002;0000
20150223;0852;H   ;031981311    ;0002;0000
20150223;1013;X   ;031981311    ;0002;0000
20150225;1801;L   ;031981311    ;0001;0000
20150228;1038;T   ;031981311    ;0002;0000
20150302;0856;H   ;031981311    ;0002;0000
20150302;0856;H   ;031981311    ;0002;0000
20150302;1021;E   ;031981311    ;0002;0000
20150302;1021;E   ;031981311    ;0002;0000
20150303;0946;L   ;031981311    ;0001;0000
20150304;0845;H   ;031981311    ;0002;0000
20150304;0845;H   ;031981311    ;0002;0000
20150304;0847;H-  ;031981311    ;0002;0000
20150304;0847;H-  ;031981311    ;0002;0000
20150304;0848;H   ;031981311    ;0002;0000
20150304;0848;H   ;031981311    ;0002;0000
20150304;1614;L   ;031981311    ;0002;0000
20150304;1620;E   ;031981311    ;0002;0000
20150305;1104;T   ;031981311    ;0002;0000
20150305;1104;T   ;031981311    ;0002;0000
20150306;1104;T   ;031981311    ;0002;0000
20150306;1108;H   ;031981311    ;0002;0000
20150306;1108;H   ;031981311    ;0002;0000
20150306;1657;H   ;031981311    ;0002;0000
20150306;1657;H   ;031981311    ;0002;0000
20150307;1146;L   ;031981311    ;0001;0000
20150309;1730;H   ;031981311    ;0002;0000
20150310;1142;H   ;031981311    ;0002;0000
20150310;1606;L   ;031981311    ;0001;0000
20150311;1142;H   ;031981311    ;0002;0000
20150311;1142;H   ;031981311    ;0002;0000
20150312;0859;H   ;031981311    ;0002;0000
20150312;0859;H   ;031981311    ;0002;0000
20150313;1111;H   ;031981311    ;0002;0000
20150313;1111;H   ;031981311    ;0002;0000
20150313;1842;L   ;031981311    ;0001;0000
20150313;2043;L   ;031981311    ;0001;0000
20150313;2056;L   ;031981311    ;0001;0000
20150317;0858;L   ;031981311    ;0001;0000
20150317;0906;T   ;031981311    ;0002;0000
20150317;0906;T   ;031981311    ;0002;0000
20150317;1058;L   ;031981311    ;0001;0000
20150318;1008;L   ;031981311    ;0001;0000
20150319;0855;L   ;031981311    ;0001;0000
20150320;1140;T   ;031981311    ;0002;0000
20150320;1156;H   ;031981311    ;0002;0000
20150320;1156;H   ;031981311    ;0002;0000
20150320;1637;L   ;031981311    ;0001;0000
20150320;1725;L   ;031981311    ;0002;0000
20150321;0933;H   ;031981311    ;0002;0000
20150321;0933;H   ;031981311    ;0002;0000
20150321;0940;H   ;031981311    ;0002;0000
