rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150113;152743;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150203;184222;R            ;  ;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00010;00010;0000001356
 ;20150204;083833;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00002;00002;0000001375
 ;20150331;190032;S            ;  ;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001340
 ;20150415;121028;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150416;115716;R            ;  ;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001356
 ;20150421;184919;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00010;00010;0000001352
 ;20150428;120902;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150515;115342;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150527;121200;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00020;00020;0000001351
 ;20150709;121120;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150710;153629;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00050;00050;0000001351
 ;20150722;121158;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20150807;121753;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00020;00020;0000001351
 ;20151019;121258;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00020;00020;0000001351
 ;20151120;121326;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20151127;122037;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00020;00020;0000001351
 ;20151229;121615;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160113;120750;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160128;121543;S            ;  ;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001340
 ;20160129;153319;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00000;00000;0000001350
 ;20160129;153320;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160209;121028;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160222;121533;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160301;121303;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160310;161644;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160317;152123;U            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160325;121215;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160404;184610;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00006;00006;0000001352
 ;20160420;121643;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160505;115614;Z            ;01;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00005;00005;0000001350
 ;20160505;183112;R            ;  ;O;016366027    ;COUMADIN*30CPR 5MG                                          ;00003;00003;0000001357
