rec-orstd.orstd-key.orstd-ordine;rec-orstd.orstd-key.orstd-tempo.orstd-data;rec-orstd.orstd-key.orstd-tempo.orstd-ora;rec-orstd.orstd-key.orstd-fornitore;rec-orstd.orstd-key.orstd-tipo-ordine;rec-orstd.orstd-key.orstd-tipo-riga;rec-orstd.orstd-key.orstd-codice-minsan;rec-orstd.orstd-dati.orstd-descrizione;rec-orstd.orstd-dati.orstd-qta;rec-orstd.orstd-dati.orstd-qta-cons;rec-orstd.orstd-dati.orstd-costo
 ;20150109;121231;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001264
 ;20150109;185223;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001264
 ;20150119;120126;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00010;00010;0000001264
 ;20150120;121351;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00010;00010;0000001264
 ;20150120;152320;U            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00200;00200;0000001236
 ;20150310;122518;S            ;  ;O;011782012    ;SINTROM*20CPR 4MG                                           ;00050;00050;0000001260
 ;20150326;180026;R            ;  ;O;011782012    ;SINTROM*20CPR 4MG                                           ;00010;00010;0000001268
 ;20150327;123154;S            ;  ;O;011782012    ;SINTROM*20CPR 4MG                                           ;00100;00100;0000001260
 ;20150420;121548;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001264
 ;20150427;171526;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001264
 ;20150506;121505;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00100;00100;0000001264
 ;20150521;115551;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001264
 ;20150527;170845;U            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00200;00200;0000001236
 ;20150620;083219;U            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00005;00005;0000001264
 ;20150627;160700;K            ;  ;O;011782012    ;SINTROM*20CPR 4MG                                           ;00150;00150;0000001217
 ;20150812;122837;Z            ;01;O;011782012    ;SINTROM*20CPR 4MG                                           ;00020;00020;0000001264
 ;20150817;115844;S            ;  ;O;011782012    ;SINTROM*20CPR 4MG                                           ;00030;00030;0000001260
