vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20150102;1619;N   ;932707565    ;0006;0000
20150103;1127;N   ;932707565    ;0002;0000
20150108;1057;N   ;932707565    ;0002;0000
20150112;0921;N   ;932707565    ;0002;0000
20150112;1130;Ns  ;932707565    ;0003;0003
20150131;1207;Nr  ;932707565    ;0003;0000
20150131;1212;N   ;932707565    ;0001;0000
20150205;1833;N   ;932707565    ;0002;0000
20150210;0855;N   ;932707565    ;0001;0000
20150211;1150;N   ;932707565    ;0002;0000
20150211;1509;N   ;932707565    ;0001;0000
20150218;0956;N   ;932707565    ;0004;0000
20150228;1001;N   ;932707565    ;0001;0000
20150311;1225;N   ;932707565    ;0001;0000
20150318;1545;N   ;932707565    ;0001;0000
20150320;1103;N   ;932707565    ;0002;0000
20150324;1027;N   ;932707565    ;0002;0000
20150324;1201;N   ;932707565    ;0004;0000
20150326;0855;N   ;932707565    ;0001;0000
20150330;1024;L   ;932707565    ;0001;0000
20150331;1600;L   ;932707565    ;0001;0000
20150401;1805;N   ;932707565    ;0002;0000
20150411;1058;N   ;932707565    ;0001;0000
20150413;1004;N   ;932707565    ;0002;0000
20150413;1740;N   ;932707565    ;0006;0000
20150413;1848;N   ;932707565    ;0001;0000
20150414;1053;N   ;932707565    ;0004;0000
20150417;1014;N   ;932707565    ;0009;0000
20150420;1022;N   ;932707565    ;0001;0000
20150420;1855;N   ;932707565    ;0002;0000
20150428;1637;N   ;932707565    ;0009;0000
20150504;1518;N   ;932707565    ;0002;0000
20150505;1739;N   ;932707565    ;0001;0000
20150507;1144;N   ;932707565    ;0002;0000
20150507;1555;N   ;932707565    ;0002;0000
20150507;1632;N   ;932707565    ;0006;0000
20150512;1200;N   ;932707565    ;0004;0000
20150515;1119;L   ;932707565    ;0001;0000
20150518;1540;N   ;932707565    ;0002;0000
20150519;1131;N   ;932707565    ;0001;0000
20150522;0946;N   ;932707565    ;0002;0000
20150528;1130;N   ;932707565    ;0010;0000
20150601;1113;N   ;932707565    ;0001;0000
20150603;0947;N   ;932707565    ;0002;0000
20150603;1624;N   ;932707565    ;0002;0000
20150608;1011;N   ;932707565    ;0002;0000
20150608;1012;N   ;932707565    ;0002;0000
20150608;1030;N   ;932707565    ;0002;0000
20150611;1018;N   ;932707565    ;0002;0000
20150611;1738;N   ;932707565    ;0006;0000
20150618;1555;L   ;932707565    ;0001;0000
20150629;1856;N   ;932707565    ;0001;0000
20150629;1858;N   ;932707565    ;0001;0000
20150702;0954;N   ;932707565    ;0002;0000
20150702;1227;N   ;932707565    ;0001;0000
20150703;1623;N   ;932707565    ;0006;0000
20150703;1732;Ns  ;932707565    ;0000;0002
20150704;1145;Nr  ;932707565    ;0002;0000
20150706;1157;N   ;932707565    ;0002;0000
20150709;1548;N   ;932707565    ;0002;0000
20150715;1127;N   ;932707565    ;0002;0000
20150715;1515;N   ;932707565    ;0008;0000
20150720;1125;N   ;932707565    ;0002;0000
20150801;1117;N   ;932707565    ;0002;0000
20150802;1515;N   ;932707565    ;0001;0000
20150804;0905;N   ;932707565    ;0004;0000
20150804;1616;N   ;932707565    ;0001;0000
20150805;1606;N   ;932707565    ;0002;0000
20150805;1820;N   ;932707565    ;0006;0000
20150810;0934;N   ;932707565    ;0002;0000
20150811;1046;N   ;932707565    ;0001;0000
20150811;1814;L   ;932707565    ;0001;0000
20150817;1022;L   ;932707565    ;0001;0000
20150817;1841;N   ;932707565    ;0008;0000
20150829;1025;N   ;932707565    ;0010;0000
20150829;1051;N   ;932707565    ;0002;0000
20150901;0933;N   ;932707565    ;0002;0000
20150901;1017;N   ;932707565    ;0002;0000
20150901;1023;N   ;932707565    ;0006;0000
20150901;1540;L   ;932707565    ;0001;0000
20150905;0955;L   ;932707565    ;0002;0000
20150914;0930;L   ;932707565    ;0001;0000
20150916;0937;N   ;932707565    ;0001;0000
20150916;1022;N   ;932707565    ;0001;0000
20150917;1135;N   ;932707565    ;0002;0000
20151002;0859;N   ;932707565    ;0002;0000
20151002;0901;N   ;932707565    ;0002;0000
20151006;1004;N   ;932707565    ;0006;0000
20151007;1114;N   ;932707565    ;0002;0000
20151009;1810;N   ;932707565    ;0004;0000
20151012;1122;N   ;932707565    ;0002;0000
20151013;1119;L   ;932707565    ;0001;0000
20151017;1002;N   ;932707565    ;0002;0000
20151020;0841;N   ;932707565    ;0003;0000
20151022;1228;N   ;932707565    ;0008;0000
20151022;1623;N   ;932707565    ;0005;0000
20151026;1121;N   ;932707565    ;0002;0000
20151029;1036;N   ;932707565    ;0002;0000
20151102;0929;N   ;932707565    ;0002;0000
20151107;1115;N   ;932707565    ;0001;0000
20151109;1210;N   ;932707565    ;0002;0000
20151111;1546;N   ;932707565    ;0002;0000
20151111;1651;N   ;932707565    ;0006;0000
20151112;1101;N   ;932707565    ;0002;0000
20151112;1127;N   ;932707565    ;0002;0000
20151117;0954;N   ;932707565    ;0002;0000
20151118;0913;N   ;932707565    ;0002;0000
20151118;0949;N   ;932707565    ;0001;0000
20151120;1553;N   ;932707565    ;0004;0000
20151125;0944;N   ;932707565    ;0001;0000
20151202;1634;N   ;932707565    ;0008;0000
20151202;1634;N   ;932707565    ;0002;0000
20151204;1129;N   ;932707565    ;0006;0000
20151205;0931;N   ;932707565    ;0002;0000
20151207;1143;N   ;932707565    ;0001;0000
20151210;1153;N   ;932707565    ;0002;0000
20151212;1121;N   ;932707565    ;0001;0000
20151214;0947;N   ;932707565    ;0002;0000
20151214;1618;N   ;932707565    ;0002;0000
20151217;0842;N   ;932707565    ;0002;0000
20151218;1506;N   ;932707565    ;0001;0000
20151221;1152;N   ;932707565    ;0004;0000
20151224;1128;L   ;932707565    ;0001;0000
20151230;1517;N   ;932707565    ;0006;0000
20160104;0946;N   ;932707565    ;0002;0000
20160104;1141;N   ;932707565    ;0009;0000
20160105;1549;N   ;932707565    ;0001;0000
20160108;1016;L   ;932707565    ;0001;0000
20160108;1546;N   ;932707565    ;0002;0000
20160108;1754;L   ;932707565    ;0006;0000
20160109;0925;N   ;932707565    ;0002;0000
20160111;1544;N   ;932707565    ;0002;0000
20160114;1624;N   ;932707565    ;0006;0000
20160115;0929;L   ;932707565    ;0001;0000
20160115;1623;N   ;932707565    ;0002;0000
20160125;0838;N   ;932707565    ;0001;0000
20160128;0933;N   ;932707565    ;0002;0000
20160208;0948;N   ;932707565    ;0002;0000
20160208;0957;N   ;932707565    ;0002;0000
20160208;1546;N   ;932707565    ;0002;0000
20160212;1809;N   ;932707565    ;0001;0000
20160213;1041;N   ;932707565    ;0002;0000
20160213;1112;N   ;932707565    ;0006;0000
20160215;1052;N   ;932707565    ;0002;0000
20160215;1651;L   ;932707565    ;0001;0000
20160215;1655;N   ;932707565    ;0008;0000
20160218;0955;N   ;932707565    ;0006;0000
20160226;1218;N   ;932707565    ;0001;0000
20160226;1554;N   ;932707565    ;0004;0000
20160229;1504;N   ;932707565    ;0005;0000
20160301;1504;N   ;932707565    ;0002;0000
20160302;1038;N   ;932707565    ;0002;0000
20160304;1715;N   ;932707565    ;0001;0000
20160307;1013;N   ;932707565    ;0002;0000
20160307;1035;L   ;932707565    ;0001;0000
20160307;1619;N   ;932707565    ;0006;0000
20160308;1101;N   ;932707565    ;0008;0000
20160310;1518;N   ;932707565    ;0001;0000
20160311;1002;N   ;932707565    ;0001;0000
20160314;1748;N   ;932707565    ;0001;0000
20160317;1011;N   ;932707565    ;0002;0000
20160326;1108;N   ;932707565    ;0002;0000
20160330;1133;N   ;932707565    ;0002;0000
20160330;1220;L   ;932707565    ;0001;0000
20160401;1016;N   ;932707565    ;0002;0000
20160401;1711;N   ;932707565    ;0002;0000
20160406;0849;N   ;932707565    ;0006;0000
20160406;1218;N   ;932707565    ;0002;0000
20160408;1225;N   ;932707565    ;0001;0000
20160411;1043;N   ;932707565    ;0008;0000
20160412;1511;N   ;932707565    ;0001;0000
20160413;1722;N   ;932707565    ;0002;0000
20160416;0939;N   ;932707565    ;0002;0000
20160421;1629;N   ;932707565    ;0005;0000
20160429;1215;L   ;932707565    ;0001;0000
20160502;1021;N   ;932707565    ;0002;0000
20160503;1018;N   ;932707565    ;0002;0000
20160504;1154;N   ;932707565    ;0004;0000
20160506;1048;N   ;932707565    ;0002;0000
20160509;1131;N   ;932707565    ;0002;0000
20160510;1058;N   ;932707565    ;0002;0000
20160510;1103;N   ;932707565    ;0006;0000
20160510;1539;N   ;932707565    ;0002;0000
20160513;1049;N   ;932707565    ;0008;0000
20160524;0959;N   ;932707565    ;0002;0000
20160531;1754;N   ;932707565    ;0001;0000
20160601;1030;N   ;932707565    ;0003;0000
20160607;0858;N   ;932707565    ;0002;0000
20160608;1505;N   ;932707565    ;0001;0000
20160608;1758;N   ;932707565    ;0004;0000
20160608;1800;Ns  ;932707565    ;0003;0001
20160608;1802;L-  ;932707565    ;0004;0000
20160609;0840;Nr  ;932707565    ;0001;0000
20160610;1127;N   ;932707565    ;0002;0000
20160613;1005;N   ;932707565    ;0002;0000
20160613;1042;N   ;932707565    ;0002;0000
20160614;0937;N   ;932707565    ;0007;0000
20160629;0951;N   ;932707565    ;0001;0000
20160701;1140;N   ;932707565    ;0008;0000
20160701;1826;N   ;932707565    ;0004;0000
20160702;0930;N   ;932707565    ;0008;0000
20160704;1640;N   ;932707565    ;0014;0000
20160705;0924;N   ;932707565    ;0002;0000
20160712;0927;N   ;932707565    ;0003;0000
20160712;1540;N   ;932707565    ;0003;0000
20160713;0933;L   ;932707565    ;0001;0000
20160713;1003;N   ;932707565    ;0002;0000
20160713;1120;N   ;932707565    ;0002;0000
